Numbers,bubblemin,bubblemid,bubblemax,insertmin,insertmid,insertmax,selectmin,selectmid,selectmax
10000,2.89897251,5.458432913,6.90570402,0.00099707,3.642569304,7.1929791,2.79499102,2.88877225,3.00386953
20000,10.7581863,20.68087339,29.7676606,0.00199223,14.57313299,29.9549558,10.7020082,11.0085237,11.7900429
30000,24.3916821,44.24721575,70.0064456,0.00299263,31.99920082,65.7389958,24.1600044,24.9740231,26.507833
40000,42.9245214,81.98486114,131.173516,0.00498629,56.84939981,116.419859,42.7650297,44.6739535,45.193398
50,66.9982455,120.7093675,176.349972,0.0059824,87.99399662,181.107975,68.144048,69.0485048,70.8797872
60000,96.8998747,166.5621514,248.499815,0.00797653,129.3774974,260.718577,96.670387,100.178256,106.042001
70000,130.889068,250.772892,374.380381,0.00798345,183.17222,355.119423,131.628109,142.151809,142.677627
80000,172.824526,320.6192765,490.129964,0.01000237,233.4039934,462.034996,180.427597,179.818219,185.4875
90000,218.970873,381.7761261,574.829861,0.01000452,304.2000763,603.555325,219.349144,232.00166,242.991502
100000,284.06549,523.2444198,782.048077,0.01197433,376.945169,722.855006,269.507837,283.710736,283.37338
